"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Luol Deng",48.2,5.6,23,48.2,5.6
"made","Luol Deng",26.8,5.9,2,26.8,5.9
"made","Kobe Bryant",25.7,88.4,1,24.3,5.59999999999999
"made","Derrick Rose",27.4,31.6,27,27.4,31.6
"made","Devin Ebanks",35,86.5,10,15,7.5
"made","Pau Gasol",23.7,88.6,1,26.3,5.40000000000001
"made","Devin Ebanks",25.9,89.2,1,24.1,4.8
"made","Derrick Rose",24.3,5.6,1,24.3,5.6
"made","Richard Hamilton",24.9,5.3,0,24.9,5.3
"made","Kobe Bryant",21,81.5,8,29,12.5
"made","Derek Fisher",26.5,89,2,23.5,5
"made","Pau Gasol",17.9,85.7,8,32.1,8.3
"made","Derrick Rose",29,30.5,26,29,30.5
"made","Luol Deng",23.5,6.4,2,23.5,6.4
"made","Josh McRoberts",26.7,89.2,2,23.3,4.8
"made","Andrew Goudelock",12.3,66,26,37.7,28
"made","Troy Murphy",5.4,87.5,20,44.6,6.5
"made","Steve Blake",37.7,71.7,21,12.3,22.3
"made","Carlos Boozer",21.3,11.7,8,21.3,11.7
"made","Kobe Bryant",24,88.6,1,26,5.40000000000001
"made","Metta World Peace",20.1,76.4,14,29.9,17.6
"made","Kobe Bryant",26.8,88.9,2,23.2,5.09999999999999
"made","Derrick Rose",25.8,5,1,25.8,5
"made","Luol Deng",24.4,5.6,1,24.4,5.6
"made","Ronnie Brewer",19.2,16.2,13,19.2,16.2
"made","Steve Blake",39.9,67.1,26,10.1,26.9
"made","Carlos Boozer",26.6,5.4,2,26.6,5.4
"made","Kobe Bryant",17.2,86.8,8,32.8,7.2
"made","Luol Deng",26.6,5.3,2,26.6,5.3
"made","Derrick Rose",23.7,13.8,9,23.7,13.8
"made","Ryan Anderson",24.4,5.3,1,24.4,5.3
"made","Kevin Durant",14.2,73.4,19,35.8,20.6
"made","Dwight Howard",11.8,7.6,13,11.8,7.6
"made","Thabo Sefolosha",41.5,89,16,8.5,5
"made","Ryan Anderson",43.3,20.7,24,43.3,20.7
"made","Kendrick Perkins",25,85.6,3,25,8.40000000000001
"made","Jason Richardson",14.8,16.5,15,14.8,16.5
"made","Dwight Howard",32,8.1,8,32,8.1
"made","Russell Westbrook",24.8,88.3,1,25.2,5.7
"made","Jameer Nelson",22.6,4.5,2,22.6,4.5
"made","Thabo Sefolosha",42,72.2,24,8,21.8
"made","Dwight Howard",25.5,5.9,1,25.5,5.9
"made","Hedo Turkoglu",25.8,5.4,1,25.8,5.4
"made","Russell Westbrook",42.3,71.5,25,7.7,22.5
"made","Kevin Durant",25.6,89,1,24.4,5
"made","Hedo Turkoglu",43.8,20.7,24,43.8,20.7
"made","Nazr Mohammed",25.2,74.4,15,24.8,19.6
"made","Glen Davis",15.6,20.6,18,15.6,20.6
"made","Eric Maynor",38.6,68.7,24,11.4,25.3
"made","Glen Davis",24.1,5.4,1,24.1,5.4
"made","Daequan Cook",11.9,68.7,24,38.1,25.3
"made","Eric Maynor",13.3,80.2,15,36.7,13.8
"made","Ryan Anderson",46.5,15.8,24,46.5,15.8
"made","Nick Collison",25.1,88.7,0,24.9,5.3
"made","Kevin Durant",39.7,84.6,15,10.3,9.40000000000001
"made","Kevin Durant",7.8,71.5,25,42.2,22.5
"made","Jameer Nelson",25.2,5.6,1,25.2,5.6
"made","Kevin Durant",25.6,88.1,1,24.4,5.90000000000001
"made","Nick Collison",24.6,89,0,25.4,5
"made","Hedo Turkoglu",46.2,17.9,25,46.2,17.9
"made","Jameer Nelson",24.3,5,1,24.3,5
"made","Kendrick Perkins",25.9,89,1,24.1,5
"made","Jameer Nelson",8.2,20.4,23,8.2,20.4
"made","Kevin Durant",25,84,5,25,10
"made","Earl Clark",21.4,24.8,20,21.4,24.8
"made","James Harden",31.9,87.8,7,18.1,6.2
"made","Russell Westbrook",13,83.4,13,37,10.6
"made","Russell Westbrook",23.5,89,2,26.5,5
"made","Ryan Anderson",26.3,4.8,1,26.3,4.8
"made","Kevin Durant",26.7,89,2,23.3,5
"made","Jameer Nelson",12,20.4,20,12,20.4
"made","Jameer Nelson",23.3,5.3,2,23.3,5.3
"made","Ryan Anderson",49.4,6.1,24,49.4,6.1
"made","Jameer Nelson",25.7,4.5,1,25.7,4.5
"made","Thabo Sefolosha",47.5,83.8,23,2.5,10.2
"made","Kevin Durant",18.5,82.3,9,31.5,11.7
"made","Eric Maynor",2.9,86.7,22,47.1,7.3
"made","James Harden",47.3,80.4,24,2.7,13.6
"made","James Harden",11.6,80.1,16,38.4,13.9
"made","James Harden",23.4,88.4,2,26.6,5.59999999999999
"made","Daequan Cook",19.8,64.8,25,30.2,29.2
"made","Glen Davis",26.9,24.7,20,26.9,24.7
"made","Ryan Anderson",36.1,27,25,36.1,27
"made","Russell Westbrook",24.8,89.5,1,25.2,4.5
"made","Ryan Anderson",25.5,5.6,1,25.5,5.6
"made","Dwight Howard",23.7,5.1,1,23.7,5.1
"made","Ryan Anderson",41.8,23.4,25,41.8,23.4
"made","Kevin Durant",11.1,88.9,14,38.9,5.09999999999999
"made","Russell Westbrook",23.9,89.3,1,26.1,4.7
"made","Kevin Durant",29.7,64.9,25,20.3,29.1
"made","Von Wafer",25,5.1,0,25,5.1
"made","Von Wafer",24.4,5.3,1,24.4,5.3
"made","Ryan Anderson",47.6,6.7,23,47.6,6.7
"made","Kevin Durant",24,88.9,1,26,5.09999999999999
"made","Andris Biedrins",20.1,87.1,5,29.9,6.90000000000001
"made","Chauncey Billups",6.8,22.8,25,6.8,22.8
"made","Stephen Curry",32,70.9,19,18,23.1
"made","Chris Paul",35.5,29.4,27,35.5,29.4
"made","Monta Ellis",23.2,87.5,2,26.8,6.5
"made","David Lee",23.9,87.9,2,26.1,6.09999999999999
"made","Andris Biedrins",23.1,87.8,2,26.9,6.2
"made","Andris Biedrins",24,88.9,1,26,5.09999999999999
"made","Chauncey Billups",12.9,16.6,17,12.9,16.6
"made","David Lee",34.5,87.9,10,15.5,6.09999999999999
"made","Blake Griffin",26.1,4.7,1,26.1,4.7
"made","David Lee",24.6,89.3,0,25.4,4.7
"made","Blake Griffin",26.8,5.3,2,26.8,5.3
"made","Blake Griffin",23.8,5.3,1,23.8,5.3
"made","DeAndre Jordan",26.1,6.1,2,26.1,6.1
"made","Randy Foye",7.1,22.5,25,7.1,22.5
"made","Ish Smith",22.9,83.7,6,27.1,10.3
"made","Monta Ellis",24.5,88.9,1,25.5,5.09999999999999
"made","Ryan Gomes",25.8,5.4,1,25.8,5.4
"made","David Lee",19.8,87.5,5,30.2,6.5
"made","Ryan Gomes",26.5,4.7,2,26.5,4.7
"made","Mo Williams",25,12.1,7,25,12.1
"made","Ryan Gomes",25,5.1,0,25,5.1
"made","Brandon Rush",1.3,86,24,48.7,8
"made","Mo Williams",13.1,7.2,12,13.1,7.2
"made","Monta Ellis",24,87.3,2,26,6.7
"made","Monta Ellis",25,86.7,2,25,7.3
"made","David Lee",23.7,88.1,2,26.3,5.90000000000001
"made","Dorell Wright",2.4,76.6,26,47.6,17.4
"made","Monta Ellis",26.2,88.7,1,23.8,5.3
"made","Chauncey Billups",32.1,17.1,14,32.1,17.1
"made","Blake Griffin",26.6,6.2,2,26.6,6.2
"made","Chauncey Billups",23.3,8.1,4,23.3,8.1
"made","Blake Griffin",20.8,10.6,7,20.8,10.6
"made","Caron Butler",6.6,17.9,22,6.6,17.9
"made","David Lee",31.4,85.7,7,18.6,8.3
"made","Blake Griffin",20.7,9.8,6,20.7,9.8
"made","Andris Biedrins",23.7,89,1,26.3,5
"made","Blake Griffin",26.5,6.9,2,26.5,6.9
"made","Caron Butler",26.8,6.9,3,26.8,6.9
"made","David Lee",24.2,88.4,1,25.8,5.59999999999999
"made","Chauncey Billups",18.1,30.2,26,18.1,30.2
"made","Stephen Curry",25.4,70.7,18,24.6,23.3
"made","Caron Butler",23.7,31.5,27,23.7,31.5
"made","Brandon Rush",24.2,71.5,18,25.8,22.5
"made","Ish Smith",22.7,83.7,6,27.3,10.3
"made","Ish Smith",38.6,68.5,25,11.4,25.5
"made","Klay Thompson",26.8,62.4,27,23.2,31.6
"made","Brian Cook",12,28.3,27,12,28.3
"made","Monta Ellis",25.2,86.8,2,24.8,7.2
"made","Chris Paul",20.5,20.7,16,20.5,20.7
"made","Chris Paul",19.7,21.7,18,19.7,21.7
"made","David Lee",25.1,83.8,5,24.9,10.2
"made","Brian Cook",23.3,32.2,27,23.3,32.2
"made","David Lee",24.8,86.2,3,25.2,7.8
"made","Brandon Rush",48.6,89.8,24,1.4,4.2
"made","Mo Williams",24.1,13.2,8,24.1,13.2
"made","Klay Thompson",23.9,88.3,1,26.1,5.7
"made","Andris Biedrins",30.3,86.2,6,19.7,7.8
"made","Mo Williams",16.4,18.4,16,16.4,18.4
"made","Chauncey Billups",19.9,30.7,26,19.9,30.7
"made","Caron Butler",39.6,5.6,15,39.6,5.6
"made","Chris Paul",20.8,23.4,19,20.8,23.4
"made","Chris Paul",25.5,15.5,11,25.5,15.5
"made","Chris Paul",14.8,23.1,21,14.8,23.1
"made","Blake Griffin",37.2,18.8,18,37.2,18.8
"made","Blake Griffin",22.9,9.7,5,22.9,9.7
"made","Chris Paul",25.7,6.7,2,25.7,6.7
"made","David Lee",23.4,88.9,2,26.6,5.09999999999999
"made","Jordan Crawford",21.2,87.8,4,28.8,6.2
"made","JaVale McGee",22.4,86.8,3,27.6,7.2
"made","Jordan Crawford",16.4,74.2,17,33.6,19.8
"made","Deron Williams",24.7,6.6,2,24.7,6.6
"made","JaVale McGee",23.4,86.2,3,26.6,7.8
"made","John Wall",22.9,88.4,2,27.1,5.59999999999999
"made","Jordan Crawford",22.3,87.8,3,27.7,6.2
"made","Damion James",9.3,5.6,16,9.3,5.6
"made","Andray Blatche",23.6,86.3,3,26.4,7.7
