"person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch","name","lower_name"
2137,"Udoka, Ime","Ime Udoka",FALSE,2003,2010,"ime_udoka",0,"","","","","Y","01","Ime Udoka","ime udoka"
1085,"Bowman, Ira","Ira Bowman",FALSE,1999,2001,"ira_bowman",0,"","","","","Y","00","Ira Bowman","ira bowman"
1956,"Newble, Ira","Ira Newble",FALSE,2000,2007,"ira_newble",0,"","","","","Y","00","Ira Newble","ira newble"
1629067,"Bonga, Isaac","Isaac Bonga",FALSE,2018,2019,"isaac_bonga",0,"","","","","Y","01","Isaac Bonga","isaac bonga"
1629353,"Humphries, Isaac","Isaac Humphries",FALSE,2018,2018,"isaac_humphries",0,"","","","","Y","01","Isaac Humphries","isaac humphries"
1628515,"Briscoe, Isaiah","Isaiah Briscoe",FALSE,2018,2018,"isaiah_briscoe",0,"","","","","Y","01","Isaiah Briscoe","isaiah briscoe"
203477,"Canaan, Isaiah","Isaiah Canaan",TRUE,2013,2018,"isaiah_canaan",1610612755,"Philadelphia","76ers","PHI","sixers","Y","01","Isaiah Canaan","isaiah canaan"
1628392,"Hartenstein, Isaiah","Isaiah Hartenstein",FALSE,2018,2019,"isaiah_hartenstein",0,"","","","","Y","01","Isaiah Hartenstein","isaiah hartenstein"
1628439,"Hicks, Isaiah","Isaiah Hicks",FALSE,2017,2018,"isaiah_hicks",0,"","","","","Y","01","Isaiah Hicks","isaiah hicks"
375,"Rider, Isaiah","Isaiah Rider",FALSE,1993,2001,"isaiah_rider",0,"","","","","Y","00","Isaiah Rider","isaiah rider"
1629676,"Roby, Isaiah","Isaiah Roby",FALSE,2019,2019,"roby_isaiah",0,"","","","","Y","01","Isaiah Roby","isaiah roby"
1627819,"Taylor, Isaiah","Isaiah Taylor",FALSE,2016,2017,"isaiah_taylor",0,"","","","","Y","01","Isaiah Taylor","isaiah taylor"
202738,"Thomas, Isaiah","Isaiah Thomas",TRUE,2011,2019,"isaiah_thomas",1610612738,"Boston","Celtics","BOS","celtics","Y","00","Isaiah Thomas","isaiah thomas"
1627785,"Whitehead, Isaiah","Isaiah Whitehead",FALSE,2016,2018,"isaiah_whitehead",0,"","","","","Y","01","Isaiah Whitehead","isaiah whitehead"
202397,"Smith, Ish","Ish Smith",TRUE,2010,2019,"ish_smith",1610612755,"Philadelphia","76ers","PHI","sixers","Y","01","Ish Smith","ish smith"
